month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,-7.2,215.85
1.0,5.0,1.0,1.0,1.0,-6.7,215.85
1.0,5.0,1.0,2.0,1.0,-6.7,200.3
1.0,5.0,1.0,3.0,1.0,-6.7,196.328
1.0,5.0,1.0,4.0,1.0,-8.3,196.504
1.0,5.0,1.0,5.0,1.0,-8.3,210.41
1.0,5.0,1.0,6.0,1.0,-8.9,217.772
1.0,5.0,1.0,7.0,1.0,-9.4,207.153
1.0,5.0,1.0,8.0,1.0,-8.9,204.311
1.0,5.0,1.0,9.0,1.0,-8.3,204.126
1.0,5.0,1.0,10.0,1.0,-6.7,212.304
1.0,5.0,1.0,11.0,1.0,-5.6,212.497
1.0,5.0,1.0,12.0,1.0,-2.8,206.677
1.0,5.0,1.0,13.0,1.0,-1.7,197.827
1.0,5.0,1.0,14.0,1.0,-1.1,195.695
1.0,5.0,1.0,15.0,1.0,-1.1,205.961
1.0,5.0,1.0,16.0,1.0,-1.7,206.784
1.0,5.0,1.0,17.0,1.0,-2.8,200.14
1.0,5.0,1.0,18.0,1.0,-3.3,201.703
1.0,5.0,1.0,19.0,1.0,-3.9,201.535
1.0,5.0,1.0,20.0,1.0,-5.0,216.549
1.0,5.0,1.0,21.0,1.0,-5.6,212.889
1.0,5.0,1.0,22.0,1.0,-6.1,204.38
1.0,5.0,1.0,23.0,1.0,-7.2,196.705
1.0,6.0,2.0,0.0,0.0,-7.2,206.279
1.0,6.0,2.0,1.0,0.0,-7.8,206.46
1.0,6.0,2.0,2.0,0.0,-8.9,201.508
1.0,6.0,2.0,3.0,0.0,-8.9,198.601
1.0,6.0,2.0,4.0,0.0,-9.4,198.417
1.0,6.0,2.0,5.0,0.0,-9.4,213.644
1.0,6.0,2.0,6.0,0.0,-10.0,217.405
1.0,6.0,2.0,7.0,0.0,-8.9,207.58
1.0,6.0,2.0,8.0,0.0,-8.9,207.664
1.0,6.0,2.0,9.0,0.0,-8.3,208.978
1.0,6.0,2.0,10.0,0.0,-6.7,215.692
1.0,6.0,2.0,11.0,0.0,-5.6,214.237
1.0,6.0,2.0,12.0,0.0,-2.8,199.728
1.0,6.0,2.0,13.0,0.0,-1.7,198.255
1.0,6.0,2.0,14.0,0.0,-1.1,205.806
1.0,6.0,2.0,15.0,0.0,-0.6,209.9
1.0,6.0,2.0,16.0,0.0,-0.6,204.048
1.0,6.0,2.0,17.0,0.0,-2.2,198.061
1.0,6.0,2.0,18.0,0.0,-2.8,203.229
1.0,6.0,2.0,19.0,0.0,-3.3,210.495
1.0,6.0,2.0,20.0,0.0,-4.4,208.772
1.0,6.0,2.0,21.0,0.0,-3.3,201.101
1.0,6.0,2.0,22.0,0.0,-3.9,195.176
1.0,6.0,2.0,23.0,0.0,-4.4,196.41
1.0,0.0,3.0,0.0,0.0,-3.9,209.029
1.0,0.0,3.0,1.0,0.0,-3.3,204.561
1.0,0.0,3.0,2.0,0.0,-2.8,196.989
1.0,0.0,3.0,3.0,0.0,-2.8,198.787
1.0,0.0,3.0,4.0,0.0,-2.8,195.808
1.0,0.0,3.0,5.0,0.0,-3.3,214.061
1.0,0.0,3.0,6.0,0.0,-2.8,213.86
1.0,0.0,3.0,7.0,0.0,-2.8,203.416
1.0,0.0,3.0,8.0,0.0,-2.8,202.993
1.0,0.0,3.0,9.0,0.0,-2.8,209.936
1.0,0.0,3.0,10.0,0.0,-2.8,213.624
1.0,0.0,3.0,11.0,0.0,-2.2,210.477
1.0,0.0,3.0,12.0,0.0,-2.2,207.986
1.0,0.0,3.0,13.0,0.0,-2.2,205.004
1.0,0.0,3.0,14.0,0.0,-2.8,217.726
1.0,0.0,3.0,15.0,0.0,-2.8,220.843
1.0,0.0,3.0,16.0,0.0,-2.2,208.029
1.0,0.0,3.0,17.0,0.0,-2.8,205.747
1.0,0.0,3.0,18.0,0.0,-2.8,216.527
1.0,0.0,3.0,19.0,0.0,-3.9,225.643
1.0,0.0,3.0,20.0,0.0,-5.0,212.885
1.0,0.0,3.0,21.0,0.0,-5.0,206.896
1.0,0.0,3.0,22.0,0.0,-6.1,203.177
1.0,0.0,3.0,23.0,0.0,-6.1,209.061
1.0,1.0,4.0,0.0,0.0,-6.7,214.343
1.0,1.0,4.0,1.0,0.0,-7.2,202.06
1.0,1.0,4.0,2.0,0.0,-7.8,200.151
1.0,1.0,4.0,3.0,0.0,-7.8,204.997
1.0,1.0,4.0,4.0,0.0,-8.9,207.265
1.0,1.0,4.0,5.0,0.0,-10.0,211.522
1.0,1.0,4.0,6.0,0.0,-11.1,205.871
1.0,1.0,4.0,7.0,0.0,-11.1,212.45
1.0,1.0,4.0,8.0,0.0,-11.7,225.689
1.0,1.0,4.0,9.0,0.0,-12.2,219.552
1.0,1.0,4.0,10.0,0.0,-10.6,228.698
1.0,1.0,4.0,11.0,0.0,-8.9,228.567
1.0,1.0,4.0,12.0,0.0,-6.7,232.83
1.0,1.0,4.0,13.0,0.0,-5.0,232.077
1.0,1.0,4.0,14.0,0.0,-3.3,235.53
1.0,1.0,4.0,15.0,0.0,-3.9,231.241
1.0,1.0,4.0,16.0,0.0,-5.0,229.043
1.0,1.0,4.0,17.0,0.0,-6.7,227.024
1.0,1.0,4.0,18.0,0.0,-7.2,237.512
1.0,1.0,4.0,19.0,0.0,-7.2,234.198
1.0,1.0,4.0,20.0,0.0,-7.2,231.738
1.0,1.0,4.0,21.0,0.0,-7.2,224.778
1.0,1.0,4.0,22.0,0.0,-6.7,214.084
1.0,1.0,4.0,23.0,0.0,-6.7,202.958
1.0,2.0,5.0,0.0,0.0,-6.7,203.61
1.0,2.0,5.0,1.0,0.0,-6.7,211.875
1.0,2.0,5.0,2.0,0.0,-6.7,210.132
1.0,2.0,5.0,3.0,0.0,-5.6,201.604
1.0,2.0,5.0,4.0,0.0,-5.0,198.776
1.0,2.0,5.0,5.0,0.0,-4.4,206.701
1.0,2.0,5.0,6.0,0.0,-4.4,217.313
1.0,2.0,5.0,7.0,0.0,-5.0,219.313
1.0,2.0,5.0,8.0,0.0,-5.6,222.043
1.0,2.0,5.0,9.0,0.0,-5.6,232.469
1.0,2.0,5.0,10.0,0.0,-3.9,233.686
1.0,2.0,5.0,11.0,0.0,-2.2,236.551
1.0,2.0,5.0,12.0,0.0,-1.1,234.978
1.0,2.0,5.0,13.0,0.0,-0.6,231.173
1.0,2.0,5.0,14.0,0.0,0.0,234.501
1.0,2.0,5.0,15.0,0.0,-0.6,229.723
1.0,2.0,5.0,16.0,0.0,-1.7,228.898
1.0,2.0,5.0,17.0,0.0,-3.3,223.912
1.0,2.0,5.0,18.0,0.0,-3.3,236.669
1.0,2.0,5.0,19.0,0.0,-4.4,233.107
1.0,2.0,5.0,20.0,0.0,-3.3,230.608
1.0,2.0,5.0,21.0,0.0,-3.3,216.769
1.0,2.0,5.0,22.0,0.0,-4.4,202.293
1.0,2.0,5.0,23.0,0.0,-3.9,195.224
1.0,3.0,6.0,0.0,0.0,-3.3,207.828
1.0,3.0,6.0,1.0,0.0,-2.8,205.373
1.0,3.0,6.0,2.0,0.0,-2.8,194.877
1.0,3.0,6.0,3.0,0.0,-4.4,192.796
1.0,3.0,6.0,4.0,0.0,-4.4,192.703
1.0,3.0,6.0,5.0,0.0,-5.0,210.759
1.0,3.0,6.0,6.0,0.0,-5.0,212.207
1.0,3.0,6.0,7.0,0.0,-4.4,204.682
1.0,3.0,6.0,8.0,0.0,-3.9,223.483
1.0,3.0,6.0,9.0,0.0,-2.8,218.764
1.0,3.0,6.0,10.0,0.0,-2.8,220.463
1.0,3.0,6.0,11.0,0.0,-1.7,227.164
1.0,3.0,6.0,12.0,0.0,-1.1,225.274
1.0,3.0,6.0,13.0,0.0,-0.6,201.772
1.0,3.0,6.0,14.0,0.0,0.0,182.677
1.0,3.0,6.0,15.0,0.0,0.0,175.051
1.0,3.0,6.0,16.0,0.0,0.0,187.113
1.0,3.0,6.0,17.0,0.0,-0.6,231.885
1.0,3.0,6.0,18.0,0.0,-0.6,229.725
1.0,3.0,6.0,19.0,0.0,-0.6,223.73
1.0,3.0,6.0,20.0,0.0,-0.6,223.126
1.0,3.0,6.0,21.0,0.0,-0.6,215.699
1.0,3.0,6.0,22.0,0.0,-0.6,209.918
1.0,3.0,6.0,23.0,0.0,-0.6,194.288
1.0,4.0,7.0,0.0,0.0,-0.6,191.13
1.0,4.0,7.0,1.0,0.0,-0.6,201.038
1.0,4.0,7.0,2.0,0.0,-0.6,202.029
1.0,4.0,7.0,3.0,0.0,-0.6,194.565
1.0,4.0,7.0,4.0,0.0,-0.6,190.73
1.0,4.0,7.0,5.0,0.0,-0.6,197.852
1.0,4.0,7.0,6.0,0.0,-0.6,208.97
1.0,4.0,7.0,7.0,0.0,-0.6,212.872
1.0,4.0,7.0,8.0,0.0,-0.6,215.052
1.0,4.0,7.0,9.0,0.0,-0.6,216.541
1.0,4.0,7.0,10.0,0.0,-0.6,223.961
1.0,4.0,7.0,11.0,0.0,0.0,223.761
1.0,4.0,7.0,12.0,0.0,0.6,225.055
1.0,4.0,7.0,13.0,0.0,0.6,225.555
1.0,4.0,7.0,14.0,0.0,0.6,225.601
1.0,4.0,7.0,15.0,0.0,0.6,229.145
1.0,4.0,7.0,16.0,0.0,0.6,223.484
1.0,4.0,7.0,17.0,0.0,0.6,220.854
1.0,4.0,7.0,18.0,0.0,1.1,225.022
1.0,4.0,7.0,19.0,0.0,0.6,216.246
1.0,4.0,7.0,20.0,0.0,0.6,212.029
1.0,4.0,7.0,21.0,0.0,1.1,210.124
1.0,4.0,7.0,22.0,0.0,0.6,198.775
1.0,4.0,7.0,23.0,0.0,0.6,192.224
1.0,5.0,8.0,0.0,0.0,0.6,204.129
1.0,5.0,8.0,1.0,0.0,0.6,207.33900000000003
1.0,5.0,8.0,2.0,0.0,0.0,195.064
1.0,5.0,8.0,3.0,0.0,0.0,191.722
1.0,5.0,8.0,4.0,0.0,0.0,193.315
1.0,5.0,8.0,5.0,0.0,0.0,210.435
1.0,5.0,8.0,6.0,0.0,0.0,206.18400000000003
1.0,5.0,8.0,7.0,0.0,0.0,201.666
1.0,5.0,8.0,8.0,0.0,0.0,220.957
1.0,5.0,8.0,9.0,0.0,0.0,225.491
1.0,5.0,8.0,10.0,0.0,0.6,216.319
1.0,5.0,8.0,11.0,0.0,0.6,211.585
1.0,5.0,8.0,12.0,0.0,0.6,215.879
1.0,5.0,8.0,13.0,0.0,0.6,215.785
1.0,5.0,8.0,14.0,0.0,1.1,220.091
1.0,5.0,8.0,15.0,0.0,1.1,219.879
1.0,5.0,8.0,16.0,0.0,0.6,218.572
1.0,5.0,8.0,17.0,0.0,0.0,213.243
1.0,5.0,8.0,18.0,0.0,-0.6,214.252
1.0,5.0,8.0,19.0,0.0,-1.7,211.697
1.0,5.0,8.0,20.0,0.0,-2.2,211.172
1.0,5.0,8.0,21.0,0.0,-3.3,212.986
1.0,5.0,8.0,22.0,0.0,-3.9,203.937
1.0,5.0,8.0,23.0,0.0,-3.9,195.004
1.0,6.0,9.0,0.0,0.0,-5.6,206.363
1.0,6.0,9.0,1.0,0.0,-6.7,207.003
1.0,6.0,9.0,2.0,0.0,-8.9,199.314
1.0,6.0,9.0,3.0,0.0,-10.0,197.755
1.0,6.0,9.0,4.0,0.0,-11.1,202.156
1.0,6.0,9.0,5.0,0.0,-12.8,215.595
1.0,6.0,9.0,6.0,0.0,-13.3,215.792
1.0,6.0,9.0,7.0,0.0,-13.9,204.576
1.0,6.0,9.0,8.0,0.0,-14.4,207.269
1.0,6.0,9.0,9.0,0.0,-15.0,221.716
1.0,6.0,9.0,10.0,0.0,-15.0,225.528
1.0,6.0,9.0,11.0,0.0,-13.9,210.855
1.0,6.0,9.0,12.0,0.0,-13.9,206.535
1.0,6.0,9.0,13.0,0.0,-15.0,213.573
1.0,6.0,9.0,14.0,0.0,-15.6,224.23
1.0,6.0,9.0,15.0,0.0,-15.0,219.15
1.0,6.0,9.0,16.0,0.0,-16.1,205.712
1.0,6.0,9.0,17.0,0.0,-16.7,216.922
1.0,6.0,9.0,18.0,0.0,-16.7,232.523
1.0,6.0,9.0,19.0,0.0,-17.2,229.402
1.0,6.0,9.0,20.0,0.0,-18.3,227.914
1.0,6.0,9.0,21.0,0.0,-18.9,212.642
1.0,6.0,9.0,22.0,0.0,-20.0,230.784
1.0,6.0,9.0,23.0,0.0,-20.6,269.708
1.0,0.0,10.0,0.0,0.0,-21.1,236.291
1.0,0.0,10.0,1.0,0.0,-21.7,218.056
1.0,0.0,10.0,2.0,0.0,-21.7,238.968
1.0,0.0,10.0,3.0,0.0,-22.2,273.093
1.0,0.0,10.0,4.0,0.0,-22.8,252.952
1.0,0.0,10.0,5.0,0.0,-22.8,236.086
1.0,0.0,10.0,6.0,0.0,-22.8,205.868
1.0,0.0,10.0,7.0,0.0,-23.3,277.074
1.0,0.0,10.0,8.0,0.0,-23.3,278.698
1.0,0.0,10.0,9.0,0.0,-22.8,244.989
1.0,0.0,10.0,10.0,0.0,-22.2,231.641
1.0,0.0,10.0,11.0,0.0,-21.1,245.706
1.0,0.0,10.0,12.0,0.0,-20.0,277.267
1.0,0.0,10.0,13.0,0.0,-19.4,250.826
1.0,0.0,10.0,14.0,0.0,-18.9,211.104
1.0,0.0,10.0,15.0,0.0,-18.3,216.689
1.0,0.0,10.0,16.0,0.0,-18.3,240.793
1.0,0.0,10.0,17.0,0.0,-18.9,235.195
1.0,0.0,10.0,18.0,0.0,-19.4,248.115
1.0,0.0,10.0,19.0,0.0,-20.0,235.805
